stock,history,sector,sharesHeld,marketValue,percentPortfolio,previousPercentPortfolio,rank,changeInShares,percentChange,percentOwnership,qtrFirstOwned,estAvgPrice,qtrEndPrice,price1D,perfMTD,perfYTD,source,sourceDate,dateReported
"AAPL ""Apple Inc""",History,INFORMATION TECHNOLOGY,"300,000,000","69,900,000,000",26.24%,30.09%,1,"-100,000,000",-25.00%,1.98%,Q1 2016,39.6214,233,Subscribe,,,13F Filing,2024-09-30,2024-11-14
"AXP ""American Express Co""",History,FINANCE,"151,610,700","41,116,821,840",15.44%,12.54%,2,No Change,,21.52%,Q1 2001,39.311,271.2,Subscribe,,,13F Filing,2024-09-30,2024-11-14
"BAC ""Bank Of America Corp.""",History,FINANCE,"766,305,462","32,292,112,168.68",,,,Change from Form 4 filing,-1.12%,9.99%,Q3 2017,,,Subscribe,,,Form 4,2024-10-15,2024-10-17
"KO ""Coca-Cola Co""",History,CONSUMER STAPLES,"400,000,000","28,744,000,000",10.79%,9.09%,4,No Change,,9.29%,Q1 2001,27.1275,71.86,Subscribe,,,13F Filing,2024-09-30,2024-11-14
"CVX ""Chevron Corp.""",History,ENERGY,"118,610,534","17,467,773,342",6.56%,6.63%,5,No Change,,6.60%,Q4 2020,130.1587,147.27,Subscribe,,,13F Filing,2024-09-30,2024-11-14
"OXY ""Occidental Petroleum Corp""",History,ENERGY,"264,263,311","11,986,983,786.96",,,,Change from Form 4 filing,,28.16%,Q1 2022,,,Subscribe,,,Form 4,2024-12-19,2024-12-19
"MCO ""Moodys Corp""",History,FINANCE,"24,669,778","11,708,029,942",4.40%,3.71%,7,No Change,,13.61%,Q1 2001,13.7106,474.59,Subscribe,,,13F Filing,2024-09-30,2024-11-14
"KHC ""Kraft Heinz Co""",History,CONSUMER STAPLES,"325,634,818","11,433,038,460",4.29%,3.75%,8,No Change,,26.93%,Q3 2015,75.4858,35.11,Subscribe,,,13F Filing,2024-09-30,2024-11-14
"CB ""Chubb Limited""",History,FINANCE,"27,033,784","7,796,272,968",2.93%,2.46%,9,No Change,,6.71%,Q1 2024,240.9961,288.39,Subscribe,,,13F Filing,2024-09-30,2024-11-14
"DVA ""Davita Inc""",History,HEALTH CARE,"36,095,570","5,917,146,790",2.22%,1.79%,10,No Change,,44.02%,Q4 2011,48.8505,163.93,Subscribe,,,13F Filing,2024-09-30,2024-11-14
"C ""Citigroup, Inc""",History,FINANCE,"55,244,797","3,458,324,292",1.30%,1.25%,11,No Change,,2.92%,Q1 2022,61.5425,62.6,Subscribe,,,13F Filing,2024-09-30,2024-11-14
"KR ""Kroger Co""",History,CONSUMER STAPLES,"50,000,000","2,865,000,000",1.08%,0.89%,12,No Change,,6.91%,Q4 2019,31.7303,57.3,Subscribe,,,13F Filing,2024-09-30,2024-11-14
"VRSN ""VeriSign Inc""",History,COMMUNICATIONS,"13,289,880","2,732,665,125.6",,,,Change from Form 4 filing,,13.83%,Q4 2012,,,Subscribe,,,Form 4,2025-01-03,2025-01-03
"SIRI ""Sirius XM Holdings Inc""",History,COMMUNICATIONS,"117,468,573","2,417,503,232.34",,,,Change from Form 4 filing,,29.75%,Q3 2023,,,Subscribe,,,Form 4,2024-12-19,2024-12-19
"V ""VISA Inc""",History,FINANCE,"8,297,460","2,281,386,627",0.86%,0.78%,15,No Change,,0.48%,Q3 2011,37.0713,274.95,Subscribe,,,13F Filing,2024-09-30,2024-11-14
"MA ""Mastercard Inc""",History,FINANCE,"3,986,648","1,968,606,782",0.74%,0.63%,16,No Change,,0.44%,Q1 2011,38.5436,493.8,Subscribe,,,13F Filing,2024-09-30,2024-11-14
"AMZN ""Amazon.com Inc""",History,CONSUMER DISCRETIONARY,"10,000,000","1,863,300,000",0.70%,0.69%,17,No Change,,0.10%,Q1 2019,82.9922,186.33,Subscribe,,,13F Filing,2024-09-30,2024-11-14
